territory,base,target30off,chosenPrice,discountPct,pricePointId
GRD,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHUkQiLCJwIjoiMTAyMDMifQ
GTM,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHVE0iLCJwIjoiMTAyMDMifQ
GUY,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHVVkiLCJwIjoiMTAxMDYifQ
HKG,788.0,551.6,550.0,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJIS0ciLCJwIjoiMTAyNzQifQ
HND,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJITkQiLCJwIjoiMTAxNTgifQ
HRV,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJIUlYiLCJwIjoiMTAyODcifQ
HUN,22990.0,16093.0,16090.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJIVU4iLCJwIjoiMTAzMDMifQ
IDN,399000.0,279300.0,279000.0,30.1,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJRE4iLCJwIjoiMTAyNjAifQ
IND,1499.0,1049.3,1049.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJTkQiLCJwIjoiMTAyMTkifQ
IRL,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJUkwiLCJwIjoiMTAzODcifQ
IRQ,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJUlEiLCJwIjoiMTAxNTgifQ
ISL,119.99,83.993,83.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJU0wiLCJwIjoiMTA0MjkifQ
ISR,299.9,209.93,209.9,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJU1IiLCJwIjoiMTA0MTUifQ
ITA,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJJVEEiLCJwIjoiMTAzNDUifQ
JAM,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJKQU0iLCJwIjoiMTAyMDMifQ
JOR,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJKT1IiLCJwIjoiMTAyMDMifQ
JPN,14000.0,9800.0,9800.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJKUE4iLCJwIjoiMTA0MzAifQ
KAZ,29990.0,20993.0,20990.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLQVoiLCJwIjoiMTA0MjIifQ
KEN,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLRU4iLCJwIjoiMTAxMzkifQ
KGZ,24.99,17.493,17.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLR1oiLCJwIjoiMTAxNjQifQ
KHM,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLSE0iLCJwIjoiMTAxMjkifQ
KNA,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLTkEiLCJwIjoiMTAyMDMifQ
KOR,129000.0,90300.0,90500.0,29.8,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLT1IiLCJwIjoiMTA0MjAifQ
KWT,67.99,47.593,47.49,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJLV1QiLCJwIjoiMTAzMTQifQ
LAO,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMQU8iLCJwIjoiMTAxMjkifQ
LBN,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMQk4iLCJwIjoiMTAyMDMifQ
LBR,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMQlIiLCJwIjoiMTAxMDYifQ
LBY,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMQlkiLCJwIjoiMTAyMDMifQ
LCA,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMQ0EiLCJwIjoiMTAyMDMifQ
LKA,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMS0EiLCJwIjoiMTAxMjkifQ
LTU,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMVFUiLCJwIjoiMTAzNDUifQ
